ID,sex,condition,pref food,pref ball,pref prop
1,F,control,16.8,7.7,0.685714286
2,M,control,6.4,12.7,0.335078534
3,F,control,15.2,11.4,0.571428571
4,M,control,18.6,11.3,0.622073579
5,M,control,8.2,19,0.301470588
6,M,control,13.1,15.5,0.458041958
7,M,control,6.9,14.8,0.31797235
8,M,control,11.1,17.6,0.386759582
9,F,control,7.5,21,0.263157895
11,M,test,1.6,24.4,0.061538462
12,F,test,7.8,17.2,0.312
13,F,test,12,12.5,0.489795918
14,F,test,10,15.9,0.386100386
15,M,test,6.1,17.1,0.262931035
16,M,test,11.6,17.8,0.394557823
17,F,test,20.2,1.6,0.926605505
18,M,control,3.5,26.2,0.117845118
20,M,control,11.3,15.5,0.421641791
21,F,control,8,17.4,0.31496063
22,F,control,19.8,9.8,0.668918919
26,M,control,6.1,22.9,0.210344828
27,F,control,3.2,17.7,0.153110048
28,M,control,21,7.5,0.736842105
30,M,control,25.9,4,0.866220736
31,F,test,1.1,29.9,0.035483871
32,F,test,15,12.4,0.547445256
33,M,test,14.6,10.6,0.579365079
35,M,control,9.2,18,0.338235294
36,F,control,24.6,0.6,0.976190476
37,M,control,11.2,18.5,0.377104377
39,M,test,16.2,7.5,0.683544304
40,M,test,12.2,10.5,0.537444934
41,M,control,12.3,14.2,0.464150943
42,M,test,11.4,8.2,0.581632653
43,F,test,8.7,18.7,0.317518248
44,M,test,20.3,6.1,0.768939394
46,M,control,7.7,20,0.277978339
47,F,test,7.5,15.8,0.321888412
50,M,control,16.8,12.9,0.565656566
51,F,control,15.3,12.2,0.556363636
52,F,test,16,13.4,0.544217687
53,M,test,8.1,18.2,0.307984791
54,M,test,7.7,17.1,0.310483871
56,M,control,12.6,14.9,0.458181818
